Close,High,Low,Open,Volume
GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
68.18681335449219,68.18681335449219,67.08132380627873,67.176977721624,27278000
67.83010864257812,68.43940351728152,67.12267404619415,67.15655543577822,23408000
69.63805389404297,69.66345923216974,67.30600805367692,67.33738843542059,46768000
69.50354766845703,69.92153470711604,69.32669091744489,69.77008329725511,34330000
69.99825286865234,70.3375228813182,69.37999541559134,69.48909698901235,35314000
70.73309326171875,71.17598393013975,70.2558194812113,70.83970143414861,33200000
71.18992614746094,71.48784974028622,70.72362186567442,71.21533908846308,26258000
71.7414321899414,71.81366484523728,71.01107809709713,71.50328944184061,30730000
71.2711410522461,71.8709640363411,71.13064389247113,71.73993876603046,26076000
71.7000732421875,71.77879025901605,71.32443609399188,71.39219126260538,21550000
72.24610137939453,72.27300427999972,71.73993307286825,72.01144787956945,26080000
73.70880126953125,73.76011367358568,72.56445103890334,72.86286877720866,52424000
73.84481048583984,74.22493276033909,73.24497990845329,73.682891350434,48930000
73.9255142211914,74.75799906007849,73.86523925075431,74.21746279473615,28458000
73.96636962890625,74.4052845476194,73.74866059227482,74.10885847916708,26650000
73.04370880126953,74.44014342272132,72.8947432066111,74.37139241036722,29786000
71.32793426513672,71.56955866813779,70.71863939255725,71.31846997752507,34132000
72.26304626464844,72.47726605072009,71.25967970809778,71.82662476293184,29724000
72.57191467285156,72.94257262840148,72.00845893497106,72.65959425732443,21566000
72.44986724853516,72.49968208968686,71.49084223477435,71.64528116546836,27110000
71.38024139404297,73.21807678829367,71.09527131841374,73.12790379399927,43822000
73.86223602294922,74.04657296301339,72.56743036798406,72.81851903680833,71636000
72.00946044921875,73.10199650551328,70.84468413309284,72.46182298123878,95880000
72.04134368896484,72.96449562114519,71.22580336725193,72.91617074068874,36376000
73.53193664550781,73.81042993755283,72.26204220223194,72.33676825821126,37822000
73.6883773803711,73.9942677344084,73.00585396908144,73.10449541727816,28360000
75.16053771972656,75.17149956935405,73.4935839944387,73.59471884010038,38302000
75.23028564453125,76.21771113263144,75.00061892772216,75.39020550159178,34852000
75.65724182128906,75.74043633057408,75.16103948219266,75.51923806383654,31042000
75.39618682861328,76.02191687395778,74.92837735428414,75.22729680616945,22914000
75.66221618652344,75.72797967828164,75.00559231326048,75.45297562350825,23198000
75.69759368896484,76.25158520613671,75.27761496690005,75.4435174707526,25642000
75.96810913085938,76.2605518097851,75.77431549389932,76.08418918563441,22746000
75.57553100585938,76.07770834757048,74.94132496189518,75.67616412195946,25962000
73.90508270263672,75.27462206552566,73.6574832677561,74.95726817378268,42520000
70.736572265625,71.55959279941615,70.08543687850549,70.89549627943762,49560000
69.06563568115234,71.58300697779833,68.77170303202607,71.29156773137504,51580000
69.27238464355469,70.42819845561333,68.57889939705458,69.49707216060908,49776000
65.51001739501953,68.2226873655206,65.4746460468317,67.7115398365822,62290000
66.72062683105469,66.88004494343048,63.18145503464202,63.48535365075221,80198000
69.06563568115234,69.1229231286208,66.02067405586332,67.32544584408515,55430000
66.64441680908203,70.15518886051058,66.2219446617251,69.63158946211831,56602000
68.83048248291016,68.88926748762059,66.6085339749811,67.70256753542472,47598000
65.50055694580078,67.4370414491301,64.84692814514692,67.03449374191095,54380000
64.55299377441406,64.90222218354712,62.63345001724397,63.26815022542305,64640000
60.5699348449707,62.41026376463806,59.685639656926234,60.03039060424266,69252000
63.52820587158203,63.56208346017073,60.5061600095972,62.49296104143068,54872000
60.32630920410156,62.61949838943698,59.34187890099212,62.18806372644597,54732000
55.37675476074219,59.22281313910036,55.22331167410478,55.92825665674984,94326000
60.494205474853516,60.500682240290445,55.413620095234876,58.537298689662194,79400000
53.45621871948242,57.06662772504203,53.161286436824646,54.28371671880484,96520000
55.70107650756836,56.09664189269421,52.26553273663821,54.335030213703156,83194000
54.362430572509766,55.049936896919235,51.66271423119009,52.80557438423959,93044000
55.38273239135742,57.42233951228538,52.58686790234642,54.2144668514263,74064000
53.21757888793945,56.71838820983278,52.91318233474506,56.34075556015403,82878000
52.5161247253418,53.152816591676384,50.2612982120029,52.62771969397402,83672000
56.29642105102539,56.46182182723558,54.125290704013324,54.99962362416185,72468000
54.88204574584961,57.1014970074779,53.95490673143392,56.025897922286106,90324000
57.935977935791016,58.3624334086797,54.4042821365031,55.53468295067127,76562000
55.31248474121094,57.344619150620744,55.00061558660406,56.169876906455066,62794000
57.10847473144531,57.34212859909248,54.72611218061649,56.42744514551845,58736000
57.88765335083008,58.458083824910496,56.630708544990256,57.2290415631662,65228000
54.90596008300781,56.267027211100036,54.47701502016982,55.99700615531,51970000
55.6497688293457,55.93573095399749,54.45908540949232,54.80134294224164,56410000
54.43765640258789,55.73744511904495,53.55984186349984,55.53418339732919,51374000
58.94581604003906,59.32244906224932,56.04682503081574,56.44538175140231,63320000
58.9144287109375,60.818529302753255,58.64988857565713,60.630706908970595,61620000
60.132015228271484,60.52558895059071,58.98367788811864,59.937719869279775,40334000
60.110591888427734,60.87880693991357,59.40564692717376,60.688996669217964,54028000
60.301902770996094,60.50666206471668,58.90297462683948,59.858012475342434,38702000
63.03300476074219,63.55710205404441,61.20512769663744,61.77456615054075,63358000
62.63793182373047,63.52521443511321,61.477138918727164,62.100379324447886,42236000
62.644405364990234,63.4380295511721,61.68638004984677,63.12815206658485,57896000
63.71901321411133,64.26702585267132,63.071359495228606,63.85352392139879,51050000
62.82973861694336,63.610409325792794,62.59508889587213,63.26516046997255,35292000
60.38908386230469,62.27424820103494,60.03237526579768,61.91106664037472,49648000
